index,_id,author_id,display_username,username,user_description,time,twt_id,text,tag,crop_tags,place_name,place_id,country,place_type,Observation,Pertinence? (/10),Info temporalite,Info localisation,Classification
0,60f0083fbd62ed8c4e4155ad,2870270541,Yann Duroc 🌱 #jesoutiensnosagriculteurs,DurocYann,Dr génétique végétale & Ingénieur Agronome - Science & biotechnology lover ! 🎶French Horn Player 🎶 Compte secondaire @QADPlantes,2020-12-20T21:04:28.000Z,1340765032783749121,"Les lignées BT sont utiles contre les insectes foreurs (pyrale, sésamie, chrysomelle sur maïs par exemple) qui par définition ne sont pas accessible a l’épandage !",pyrale,['maïs'],,,,,0,0,0,0,conseil
1,60f0083fbd62ed8c4e4155af,303818720,Benco,benco_c,"Quest XS pour la ballade #QXS178, R&M Nevo pour tout le reste 
Et d'autres choses...

Vidéos vélomobile : https://t.co/4w8pKwoo7n",2020-12-19T21:00:07.000Z,1340401550573879299,"Vous êtes au courant que le bt c'est issu dune bactérie et en tant que produit ""naturel"" et c'est donc autorisé en bio ? Donc pulvériser un champ au bt, on tue plein d'insectes sans distinction c'est ok car bio Mais avoir un maïs bt qui ne tue que la pyrale c'est caca Logique/20 https://t.co/lXpAT7LTuW",pyrale,['maïs'],,,,,0,0,0,0,politique
2,60f0083fbd62ed8c4e4155c0,713466976698560512,julien_54 🌾🌽🚜🏍,BADURAUX_j,#agriculteur #lorrain qui recherche des solutions d'avenir innovantes pour produire PLUS et MIEUX avec MOINS #ferme #familiale @agilemc2 #agripapa 2x #teamPCV,2020-12-07T18:07:26.000Z,1336009437417500673,il y a 2ans jour pour jour j’étais invité à visiter la #biofabrique de là où on fabrique le #biocontrole made in france que j’utilise dans mes #champs de #maïs pour lutter contre la #pyrale coïncidence?ce matin j’ai recommandé des #trichogrammes pour le récolte2021 https://t.co/gDHE9xXW2i,pyrale,['maïs'],,,,,0,1,1,0,Conseil
3,60f0083fbd62ed8c4e4155d5,781129373764247554,Bioline #bioControle 🐝🐞🕷,Bioline_AS,👉 produit & commercialise micro/macro organismes #biocontrole pr lutter #naturellement contre #insectes ravageurs des cultures 🇪🇸🇺🇸🇬🇧 #3VA,2020-11-24T11:53:59.000Z,1331204411998285829,Bioline Agrosciences nominé aux #innovation 2021 ! #TProtect est la nouvelle #technologies pour protéger les #maïs contre la #pyrale du maïs efficacement et en toutes situations. Le seul système de lâcher d'#insectes #mécanisable sur les grandes cultures !,pyrale,"['lin', 'maïs']",,,,,0,0,0,0,pub
4,60f0083fbd62ed8c4e4155d7,1260451087447883776,Wackes Seppi,SeppiWackes,"Agriculture, alimentation, santé publique... soyons rationnels -- https://t.co/0p7mU80JhR",2020-11-20T08:06:27.000Z,1329697600535224320,"Oui, pendant ce temps là.. C'est en principe la dernière étape avant l'autorisation des maïs Bt. Et mon petit doigt me dit, compte tenu des problèmes de pyrale et de légionnaire, ils seront adoptés à la vitesse grand V.",pyrale,['maïs'],,,,,0,0,0,0,politique
5,60f0083fbd62ed8c4e4155e0,1263479520662700033,Mireault Gilles,gilles_mireault,Reflexion,2020-11-13T12:50:06.000Z,1327232268583149569,"Pour lui nous sommes comme du blé-dinde OGM, rien de plus. Le maïs OGM secrète maintenant une toxine contre la pyrale qui est son parasite. Et l'homme OGM secrètera une toxine contre qui croyez-vous?",pyrale,"['maïs', 'blé']",,,,,0,0,0,0,politique
6,60f0083fbd62ed8c4e415623,3065997190,ChambreAgriNormandie,Agri_Normandie,Compte officiel des Chambres d'#agriculture de #Normandie. #Évènements #informations #territoires #élevage #formation #agronomie #innovation #agroalimentaire,2020-10-21T12:37:48.000Z,1318894254261981185,Pyrale du #maïs : bilan 2020 et mesures préventives https://t.co/QBhe7xoL4d #Fourrage #Elevage #Normandie,pyrale,"['maïs', 'culture fourragère', 'céréale fourragère']",,,,,0,0,0,0,conseil
7,60f0083fbd62ed8c4e415625,1240716100280758272,Notre futur dans les champs,noschampsfuturs,"Depuis 2014, les anti-glyphosate ont conçu une opération pour effrayer l'opinion. Nous avons démasqué leur mensonge. Suivez-nous",2020-10-19T21:30:13.000Z,1318303466406727681,Les agriculteurs français ne demandent pas les cultures ogm roundup ready. Ils voulaient seulement les variétés Bt de maïs qui évite les insecticides pour lutter contre la pyrale.,pyrale,['maïs'],,,,,0,0,0,0,politique
8,60f0083fbd62ed8c4e41562c,1289472215738650624,Terre à Terre,TerreTerre13,"Professeur agrégé de SVT.
Vulgarisation scientifique sur les sujets écologiques, notamment sur l'agriculture.
Producteur de contenus pédagogiques.",2020-10-16T09:19:31.000Z,1317032412216426497,-ils peuvent permettre d’éviter l’usage de pesticides. L’exemple le plus connu c’est le maïs Bt qui est résistant à la pyrale du maïs et qui permet ainsi d’éviter d’utiliser des insecticides. (https://t.co/LEQGOQp9UH),pyrale,['maïs'],,,,,0,0,0,0,politique
9,60f0083fbd62ed8c4e415634,32405191,🐜 Jay,_208_,"Au début tout était bio et gratuit et ensuite nous avons fait des ""progrès""... 


(mon correcteur fait des fautes 😅)",2020-10-12T20:04:30.000Z,1315745178762829824,Il faut leur laisser du temps. Il a fallu du temps pour maîtriser les trichogrammes (synchronisation des applications). Aujourd'hui 1/3 des parcelles de maïs sont traités avec. https://t.co/YVvWbf9ZlB,pyrale,['maïs'],,,,,0,0,0,0,politique
10,60f0083fbd62ed8c4e415635,1018885295318749184,Serge FOURQUET,sergefourquet,,2020-10-12T18:45:05.000Z,1315725193508278272,Et en France on dit non à un maïs OGM résistant à la pyrale et qui éviterait un insecticide au résultat aléatoire en pleine végétation,pyrale,['maïs'],,,,,0,0,0,0,politique
11,60f0083fbd62ed8c4e415636,1110816447272574977,Grabotte,Grabotte2019,,2020-10-12T15:57:52.000Z,1315683109078269955,"Qu'est ce qu'il a fait de bien ? C'est une vraie question, j'ai pas d'a priori. Sa fiche wikipedia mentionne l'autorisation d'un maïs OGM pour lutter contre la pyrale.",pyrale,['maïs'],,,,,0,0,0,0,politique
12,60f0083fbd62ed8c4e415638,1289472215738650624,Terre à Terre,TerreTerre13,"Professeur agrégé de SVT.
Vulgarisation scientifique sur les sujets écologiques, notamment sur l'agriculture.
Producteur de contenus pédagogiques.",2020-10-11T14:57:59.000Z,1315305653041278978,"Les généticiens ont réussi à isoler ce gène et à le transférer chez des plants de maïs, obtenant ainsi du maïs Bt, résistant à la pyrale.",pyrale,['maïs'],,,,,0,0,0,0,information
13,60f0083fbd62ed8c4e415639,1289472215738650624,Terre à Terre,TerreTerre13,"Professeur agrégé de SVT.
Vulgarisation scientifique sur les sujets écologiques, notamment sur l'agriculture.
Producteur de contenus pédagogiques.",2020-10-11T14:57:59.000Z,1315305651669794822,"En agronomie c’est possible aussi : on connait un gène chez une bactérie (Bacillus thuringiensis) capable de produire une protéine toxique pour la pyrale, un insecte parasite du maïs.",pyrale,['maïs'],,,,,0,0,0,0,conseil
14,60f0083fbd62ed8c4e415641,4868357793,Schwartz,Patoon68,"Agriculteur, producteur de maïs, betterave, tournesol semence, blé semence.",2020-10-04T20:40:18.000Z,1312855085341384705,"La protection du maïs face à la Pyrale, avec des trichogrames, ça vous parles? Les plantes appâts ça vous parles? Les semis de plantes piège à nitrates etc",pyrale,['maïs'],,,,,0,0,0,0,conseil
15,60f0083fbd62ed8c4e415644,1201071115503898626,Jean-michel KUBRAK,JKubrak,,2020-10-03T19:21:34.000Z,1312472883231301632,"A propos de Maïs cela fait 30 ans sur l'exploitation qu'on utilise des trichogrammes contre la Pyrale, lorsqu'il y a des solutions fiables, nous les utilisons. Les Ecolos et les journalistes n'en parlent jamais, forcément pas vendeur!!!",pyrale,['maïs'],,,,,0,0,0,0,conseil
16,60f0083fbd62ed8c4e41565c,1199420514818830336,Mandrin Jean-pierre,jpman70,Agriculteur en voie de conservation des sols et d'agroécologie,2020-09-25T18:18:11.000Z,1309557826977660930,"Chrysomèle, pyrale et celle-ci...superbe avenir pour le maïs....",pyrale,['maïs'],,,,,0,0,0,0,conseil
17,60f0083fbd62ed8c4e415674,1269723139,"Maïs Culture Durable, cet épi m'épate !",MaisDurable,"Les atouts du maïs sont multiples ! 3500 produits de notre quotidien en contiennent : dentifrice, peinture... Découvrez-les !
#maïsiculteur #semences #semencier",2020-09-18T12:24:00.000Z,1306931980949479431,Les drones sont également utilisés en lâcher de #trichogrammes pour lutter contre la pyrale du #maïs https://t.co/72DfxbgpN4,pyrale,['maïs'],,,,,0,0,0,0,information
18,60f0083fbd62ed8c4e41567c,1017015986552279040,Jannin Laetitia,laetitiaJ_FMC,"Echangeons sur la culture du maïs #CornLover🌽 et des #céréales🌾
et pas que 😃 #agriculture #LégumesBZH🥦🥔
#FrAgTw
Chargée de clientèle @FMCagro
tweets perso",2020-09-16T15:58:26.000Z,1306261169854976000,Une parcelle de maïs ensilage defoncée par la #pyrale Je crois que celle-ci détient la palme pour l’instant https://t.co/fqqXujDtgo,pyrale,"['fourrage annuel', 'maïs', 'maïs fourrage']",,,,,1,10,0,0,observation
19,60f0083fbd62ed8c4e4156a7,843439739034370049,Station ACE NORIAP,ServtecPvNORIA,Compte officiel du service technique productions végétales @noriapcoop #blé #colza #orge #poisprotéagineux #lupin #soja et de sa station d'expérimentation ACE.,2020-09-01T16:38:20.000Z,1300835392539820032,#Pyrale bien présente dans les #maïs secteur pays de Bray #ChangementClimatique https://t.co/HAN1ZHjn3F,pyrale,['maïs'],,,,,1,10,0,1,observation
20,60f0083fbd62ed8c4e4156ab,976770590194446338,@EmilieH_FMC,emilieH_FMC,Resp Tech Mark FMC #AgriculturePositive😊👩‍🌾🦹‍♀️. En savoir + sur les insectes avec #MardiInsecte 🪳🪰🦗🕷🐞🐝🦋🦟🪲 Mes tweets n’engagent que moi @fmcagro,2020-09-01T04:49:13.000Z,1300656937013567495,#mardiInsecte Qui suis je 1⃣Je mange les soies du maïs 2⃣On confond mes dégâts souvent avec pyrale et sésamie 3⃣Je suis plutôt présent sur la zone Sud de la France Réponse ce soir,pyrale,['maïs'],,,,,0,0,0,0,conseil
