,_id,author_id,display_username,username,user_description,time,twt_id,text,tag,crop_tags,Observation
1,60f0083fbd62ed8c4e4155af,303818720.0,Benco,benco_c,"Quest XS pour la ballade #QXS178, R&M Nevo pour tout le reste 
Et d'autres choses...

Vidéos vélomobile : https://t.co/4w8pKwoo7n",2020-12-19T21:00:07.000Z,1340401550573879299,"Vous êtes au courant que le bt c'est issu dune bactérie et en tant que produit ""naturel"" et c'est donc autorisé en bio ? Donc pulvériser un champ au bt, on tue plein d'insectes sans distinction c'est ok car bio Mais avoir un maïs bt qui ne tue que la pyrale c'est caca Logique/20 https://t.co/lXpAT7LTuW",pyrale,['maïs'],0
2,60f0083fbd62ed8c4e4155c0,7.134669766985605e+17,julien_54 🌾🌽🚜🏍,BADURAUX_j,#agriculteur #lorrain qui recherche des solutions d'avenir innovantes pour produire PLUS et MIEUX avec MOINS #ferme #familiale @agilemc2 #agripapa 2x #teamPCV,2020-12-07T18:07:26.000Z,1336009437417500673,il y a 2ans jour pour jour j’étais invité à visiter la #biofabrique de là où on fabrique le #biocontrole made in france que j’utilise dans mes #champs de #maïs pour lutter contre la #pyrale coïncidence?ce matin j’ai recommandé des #trichogrammes pour le récolte2021 https://t.co/gDHE9xXW2i,pyrale,['maïs'],0
3,60f0083fbd62ed8c4e4155d5,7.811293737642476e+17,Bioline #bioControle 🐝🐞🕷,Bioline_AS,👉 produit & commercialise micro/macro organismes #biocontrole pr lutter #naturellement contre #insectes ravageurs des cultures 🇪🇸🇺🇸🇬🇧 #3VA,2020-11-24T11:53:59.000Z,1331204411998285829,Bioline Agrosciences nominé aux #innovation 2021 ! #TProtect est la nouvelle #technologies pour protéger les #maïs contre la #pyrale du maïs efficacement et en toutes situations. Le seul système de lâcher d'#insectes #mécanisable sur les grandes cultures !,pyrale,"['lin', 'maïs']",0
4,60f0083fbd62ed8c4e4155d7,1.2604510874478838e+18,Wackes Seppi,SeppiWackes,"Agriculture, alimentation, santé publique... soyons rationnels -- https://t.co/0p7mU80JhR",2020-11-20T08:06:27.000Z,1329697600535224320,"Oui, pendant ce temps là.. C'est en principe la dernière étape avant l'autorisation des maïs Bt. Et mon petit doigt me dit, compte tenu des problèmes de pyrale et de légionnaire, ils seront adoptés à la vitesse grand V.",pyrale,['maïs'],0
5,60f0083fbd62ed8c4e4155e0,1.2634795206627e+18,Mireault Gilles,gilles_mireault,Reflexion,2020-11-13T12:50:06.000Z,1327232268583149569,"Pour lui nous sommes comme du blé-dinde OGM, rien de plus. Le maïs OGM secrète maintenant une toxine contre la pyrale qui est son parasite. Et l'homme OGM secrètera une toxine contre qui croyez-vous?",pyrale,"['maïs', 'blé']",0
6,60f0083fbd62ed8c4e415623,3065997190.0,ChambreAgriNormandie,Agri_Normandie,Compte officiel des Chambres d'#agriculture de #Normandie. #Évènements #informations #territoires #élevage  #formation #agronomie #innovation #agroalimentaire,2020-10-21T12:37:48.000Z,1318894254261981185,Pyrale du #maïs : bilan 2020 et mesures préventives https://t.co/QBhe7xoL4d #Fourrage #Elevage #Normandie,pyrale,"['maïs', 'culture fourragère', 'céréale fourragère']",0
7,60f0083fbd62ed8c4e415625,1.2407161002807583e+18,Notre futur dans les champs,noschampsfuturs,"Depuis 2014, les anti-glyphosate ont conçu une opération pour effrayer l'opinion. Nous avons démasqué leur mensonge. Suivez-nous",2020-10-19T21:30:13.000Z,1318303466406727681,Les agriculteurs français ne demandent pas les cultures ogm roundup ready. Ils voulaient seulement les variétés Bt de maïs qui évite les insecticides pour lutter contre la pyrale.,pyrale,['maïs'],0
8,60f0083fbd62ed8c4e41562c,1.2894722157386506e+18,Terre à Terre,TerreTerre13,"Professeur agrégé de SVT.
Vulgarisation scientifique sur les sujets écologiques, notamment sur l'agriculture.
Producteur de contenus pédagogiques.",2020-10-16T09:19:31.000Z,1317032412216426497,-ils peuvent permettre d’éviter l’usage de pesticides. L’exemple le plus connu c’est le maïs Bt qui est résistant à la pyrale du maïs et qui permet ainsi d’éviter d’utiliser des insecticides. (https://t.co/LEQGOQp9UH),pyrale,['maïs'],0
9,60f0083fbd62ed8c4e415634,32405191.0,🐜 Jay,_208_,"Au début tout était bio et gratuit et ensuite nous avons fait des ""progrès""... 


(mon correcteur fait des fautes 😅)",2020-10-12T20:04:30.000Z,1315745178762829824,Il faut leur laisser du temps. Il a fallu du temps pour maîtriser les trichogrammes (synchronisation des applications). Aujourd'hui 1/3 des parcelles de maïs sont traités avec. https://t.co/YVvWbf9ZlB,pyrale,['maïs'],0
10,60f0083fbd62ed8c4e415635,1.0188852953187492e+18,Serge FOURQUET,sergefourquet,,2020-10-12T18:45:05.000Z,1315725193508278272,Et en France on dit non à un maïs OGM résistant à la pyrale et qui éviterait un insecticide au résultat aléatoire en pleine végétation,pyrale,['maïs'],0
