,_id,author_id,display_username,username,user_description,time,twt_id,text,tag,crop_tags,Observation
0,60f0083fbd62ed8c4e4155ad,2870270541.0,Yann Duroc 🌱 #jesoutiensnosagriculteurs,DurocYann,Dr génétique végétale & Ingénieur Agronome - Science & biotechnology lover ! 🎶French Horn Player 🎶 Compte secondaire @QADPlantes,2020-12-20T21:04:28.000Z,1340765032783749121,"Les lignées BT sont utiles contre les insectes foreurs (pyrale, sésamie, chrysomelle sur maïs par exemple) qui par définition ne sont pas accessible a l’épandage !",pyrale,['maïs'],0
1,60f0083fbd62ed8c4e4155af,303818720.0,Benco,benco_c,"Quest XS pour la ballade #QXS178, R&M Nevo pour tout le reste 
Et d'autres choses...

Vidéos vélomobile : https://t.co/4w8pKwoo7n",2020-12-19T21:00:07.000Z,1340401550573879299,"Vous êtes au courant que le bt c'est issu dune bactérie et en tant que produit ""naturel"" et c'est donc autorisé en bio ? Donc pulvériser un champ au bt, on tue plein d'insectes sans distinction c'est ok car bio Mais avoir un maïs bt qui ne tue que la pyrale c'est caca Logique/20 https://t.co/lXpAT7LTuW",pyrale,['maïs'],0
5,60f0083fbd62ed8c4e4155e0,1.2634795206627e+18,Mireault Gilles,gilles_mireault,Reflexion,2020-11-13T12:50:06.000Z,1327232268583149569,"Pour lui nous sommes comme du blé-dinde OGM, rien de plus. Le maïs OGM secrète maintenant une toxine contre la pyrale qui est son parasite. Et l'homme OGM secrètera une toxine contre qui croyez-vous?",pyrale,"['maïs', 'blé']",0
6,60f0083fbd62ed8c4e415623,3065997190.0,ChambreAgriNormandie,Agri_Normandie,Compte officiel des Chambres d'#agriculture de #Normandie. #Évènements #informations #territoires #élevage  #formation #agronomie #innovation #agroalimentaire,2020-10-21T12:37:48.000Z,1318894254261981185,Pyrale du #maïs : bilan 2020 et mesures préventives https://t.co/QBhe7xoL4d #Fourrage #Elevage #Normandie,pyrale,"['maïs', 'culture fourragère', 'céréale fourragère']",0
8,60f0083fbd62ed8c4e41562c,1.2894722157386506e+18,Terre à Terre,TerreTerre13,"Professeur agrégé de SVT.
Vulgarisation scientifique sur les sujets écologiques, notamment sur l'agriculture.
Producteur de contenus pédagogiques.",2020-10-16T09:19:31.000Z,1317032412216426497,-ils peuvent permettre d’éviter l’usage de pesticides. L’exemple le plus connu c’est le maïs Bt qui est résistant à la pyrale du maïs et qui permet ainsi d’éviter d’utiliser des insecticides. (https://t.co/LEQGOQp9UH),pyrale,['maïs'],0
9,60f0083fbd62ed8c4e415634,32405191.0,🐜 Jay,_208_,"Au début tout était bio et gratuit et ensuite nous avons fait des ""progrès""... 


(mon correcteur fait des fautes 😅)",2020-10-12T20:04:30.000Z,1315745178762829824,Il faut leur laisser du temps. Il a fallu du temps pour maîtriser les trichogrammes (synchronisation des applications). Aujourd'hui 1/3 des parcelles de maïs sont traités avec. https://t.co/YVvWbf9ZlB,pyrale,['maïs'],0
11,60f0083fbd62ed8c4e415636,1.110816447272575e+18,Grabotte,Grabotte2019,,2020-10-12T15:57:52.000Z,1315683109078269955,"Qu'est ce qu'il a fait de bien ? C'est une vraie question, j'ai pas d'a priori. Sa fiche wikipedia mentionne l'autorisation d'un maïs OGM pour lutter contre la pyrale.",pyrale,['maïs'],0
12,60f0083fbd62ed8c4e415638,1.2894722157386506e+18,Terre à Terre,TerreTerre13,"Professeur agrégé de SVT.
Vulgarisation scientifique sur les sujets écologiques, notamment sur l'agriculture.
Producteur de contenus pédagogiques.",2020-10-11T14:57:59.000Z,1315305653041278978,"Les généticiens ont réussi à isoler ce gène et à le transférer chez des plants de maïs, obtenant ainsi du maïs Bt, résistant à la pyrale.",pyrale,['maïs'],0
14,60f0083fbd62ed8c4e415641,4868357793.0,Schwartz,Patoon68,"Agriculteur, producteur de maïs, betterave, tournesol semence, blé semence.",2020-10-04T20:40:18.000Z,1312855085341384705,"La protection du maïs face à la Pyrale, avec des trichogrames, ça vous parles? Les plantes appâts ça vous parles? Les semis de plantes piège à nitrates etc",pyrale,['maïs'],0
15,60f0083fbd62ed8c4e415644,1.2010711155038986e+18,Jean-michel KUBRAK,JKubrak,,2020-10-03T19:21:34.000Z,1312472883231301632,"A propos de Maïs cela fait 30 ans sur l'exploitation qu'on utilise des trichogrammes contre la Pyrale, lorsqu'il y a des solutions fiables, nous les utilisons. Les Ecolos et les journalistes n'en parlent jamais, forcément pas vendeur!!!",pyrale,['maïs'],0
16,60f0083fbd62ed8c4e41565c,1.1994205148188303e+18,Mandrin Jean-pierre,jpman70,Agriculteur en voie de conservation des sols et d'agroécologie,2020-09-25T18:18:11.000Z,1309557826977660930,"Chrysomèle, pyrale et celle-ci...superbe avenir pour le maïs....",pyrale,['maïs'],0
17,60f0083fbd62ed8c4e415674,1269723139.0,"Maïs Culture Durable, cet épi m'épate !",MaisDurable,"Les atouts du maïs sont multiples ! 3500 produits de notre quotidien en contiennent : dentifrice, peinture... Découvrez-les !
#maïsiculteur #semences #semencier",2020-09-18T12:24:00.000Z,1306931980949479431,Les drones sont également utilisés en lâcher de #trichogrammes pour lutter contre la pyrale du #maïs https://t.co/72DfxbgpN4,pyrale,['maïs'],0
18,60f0083fbd62ed8c4e41567c,1.017015986552279e+18,Jannin Laetitia,laetitiaJ_FMC,"Echangeons sur la culture du maïs #CornLover🌽 et des #céréales🌾
et pas que 😃 #agriculture #LégumesBZH🥦🥔
#FrAgTw
Chargée de clientèle @FMCagro
tweets perso",2020-09-16T15:58:26.000Z,1306261169854976000,Une parcelle de maïs ensilage defoncée par la #pyrale Je crois que celle-ci détient la palme pour l’instant https://t.co/fqqXujDtgo,pyrale,"['fourrage annuel', 'maïs', 'maïs fourrage']",1
20,60f0083fbd62ed8c4e4156ab,9.767705901944463e+17,@EmilieH_FMC,emilieH_FMC,Resp Tech Mark FMC #AgriculturePositive😊👩‍🌾🦹‍♀️. En savoir + sur les insectes avec #MardiInsecte 🪳🪰🦗🕷🐞🐝🦋🦟🪲 Mes tweets n’engagent que moi @fmcagro,2020-09-01T04:49:13.000Z,1300656937013567495,#mardiInsecte Qui suis je 1⃣Je mange les soies du maïs 2⃣On confond mes dégâts souvent avec pyrale et sésamie 3⃣Je suis plutôt présent sur la zone Sud de la France Réponse ce soir,pyrale,['maïs'],0
21,60f0083fbd62ed8c4e4156af,178322650.0,DumDum #NeRienLaisserPasser,RemDumDum,"Cultivateur Beauceron, recherche d'une Agriculture Durable sans tabou avec les Nouvelles Technologies, d'une Biodiversité utile et dynamique,...Bordel #FrAgTw",2020-08-29T15:52:27.000Z,1299736680816144391,"pour le pyrale du maïs, nous avons des solutions phyto, biocontrole et génétique (pas autorisé OGM); en fonction de la pression de la pyrale dans un territoire, je choix entre les différentes solutions et efficacités !",pyrale,['maïs'],0
22,60f0083fbd62ed8c4e4156b4,4495374201.0,CETA35,ceta_35,"Association d'agriculteurs d'Ille-et-Vilaine
Organisme de formation - 
Autonomie Liberté de penser Partage Esprit d'entreprendre -",2020-08-27T10:00:00.000Z,1298923210449268737,"Dernières notations sur les #EssaisMaïsEnsilage : gabarit, hauteur d'épis, nombre de grains, maturité, casse pyrale, stay green... Essai Sud (Guipry) noté le 18 Aout. RDV en réunion CETA cet automne pour les résultats ! https://t.co/CW8gLrBqI0",pyrale,"['fourrage annuel', 'maïs']",1
23,60f0083fbd62ed8c4e4156b8,4728811835.0,michael Tavernier,MichaelMickha,"curieux de tout , mais bougon, méchant scientiste et affreux libéral . mammifère omnivore qui croit que la terre est ronde. tweets perso qui n’engagent personne",2020-08-26T09:36:41.000Z,1298554952542031872,Alors il y a le bon pesticides bio qui tue les moustiques et il y à le mauvais pesticides bio qui tue la pyrale du maïs ... Mais c poa pareil,pyrale,['maïs'],0
27,60f0083fbd62ed8c4e41573c,8.05467207002112e+17,Lerayonfrais,Antbean49,Obstinément curieux,2020-08-15T07:20:36.000Z,1294534440052498444,"Et vous n'empêcherez pas les ravageurs de chacune des cultures de les attaquer, même en culture mélangée. Typiquement la pyrale du maïs est polyphage et s'attaque à plusieurs cultures différentes (haricot par ex).",pyrale,"['pêcher', 'haricot', 'maïs']",0
29,60f0083fbd62ed8c4e415749,1.0210554006517064e+18,Mat Agri,Agritwitto,"Agriculture (soyez curieux, posez vos questions), et Stade Rennais 🔴⚫️",2020-08-13T10:11:31.000Z,1293852678674669573,"Exemple pyrale sur maïs (avec les trichogrammes). Mais ces méthodes mettent du temps à se développer. Sur les pucerons, les NNI sont la seule alternative. Car pulvériser dans les champs à la place n’est pas mieux.",pyrale,['maïs'],0
30,60f0083fbd62ed8c4e41574a,3899598394.0,MEYER 💉💉hi ha !,MeyerOrely,Professeure de chirurgie de fleurs. Oeuf décomposé en omelette. Capital humain pas cher.,2020-08-12T07:16:44.000Z,1293446303914041344,non on associe monoculture à culture intensive. la plaine d'alsace est devenu un seul grand champs de mais (un peu moins vrai depuis 5/10ans) ce que j'appelle la monoculture du mais. La pyrale du maïs peut s'y développer avec grand plaisir. (par exemple) mais le blé de la beauce,pyrale,"['maïs', 'blé']",0
32,60f0083fbd62ed8c4e415789,1.1797614153112986e+18,Bouyssou,BouyssouEts,#Négoceagricole du Périgord en #Agrofourniture #Collecte #Aliments #Services Conseil/Expertise/Engagement/Réactivité/Proximité/Innovation,2020-07-27T06:14:51.000Z,1287632522256539648,Les Ets bouyssou proposent l’épandage de trichogrammes par #drone pour lutter contre la pyrale du #maïs : solution #durable car : 1⃣socialement acceptable 2⃣respectueuse de l’environnement 3⃣rentable pour l’agriculteur https://t.co/2gV5dUhH4x,pyrale,['maïs'],0
34,60f00842bd62ed8c4e4159c9,512431405.0,Subes Guy,GSubes,"Agriculteur , producteur de blé dur et multiplicateur de semences ,vice président de GPS ,chasseur 🐗et ASSE",2020-07-20T05:47:32.000Z,1285088935241187328,Aujourd’hui biocontrol!! On pose des plaquettes qui contiennent des auxiliaires qui vont lutter contre la pyrale dans les maïs semence !! Qui a dit q’ une petite bête ne mange une grosse ?? https://t.co/aIDQB8W3jh,pyrale,"['semence', 'maïs']",1
35,60f00842bd62ed8c4e4159d9,7.134669766985605e+17,julien_54 🌾🌽🚜🏍,BADURAUX_j,#agriculteur #lorrain qui recherche des solutions d'avenir innovantes pour produire PLUS et MIEUX avec MOINS #ferme #familiale @agilemc2 #agripapa 2x #teamPCV,2020-07-17T17:37:09.000Z,1284180353540935680,pour protéger mes maïs de la pyrale je préfère mettre des trichogrammes moi mais chacun son truc....... #noschampsnesontpasdespoubelles #recyclage #pollution,pyrale,['maïs'],0
36,60f00842bd62ed8c4e4159dc,1201990543.0,herve.Gustin,rv59268,"fan de technologie,d'agro équipements et d'agriculture! 
Like farm equipment technology and teach it! #FrAgTw #TCBR #TEAMPCV",2020-07-17T10:00:20.000Z,1284065390126137344,"Pois sec! Arrêté! Pas de solution contre le champignon aphanomyces Carotte industrielle arrêté, aucune matière de désherbage Haricots de plein champ Arrêté, pas de matière active pour lutter contre les attaques de mouche Maïs grain arrêté, secteur trop touché par la Pyrale",pyrale,"['pois', 'haricot', 'maïs', 'carotte', 'maïs grain']",0
37,60f00842bd62ed8c4e4159e2,7.927805044960174e+17,Jacky Berland,JackyBerland,Agriculteur en agriculture de conservation des sols  qui aime bien trouver ce qu'il cherche. Et ça marche!...souvent.,2020-07-17T05:48:22.000Z,1284001979199623168,Avant que cela ne soit interdit en France j'avais testé ces maïs BT en bande comparés aux conventionnels. y avait pas photo c'était nickel pas une sésamie ni pyrale. C'est rageant.,pyrale,['maïs'],0
38,60f00842bd62ed8c4e4159e4,7.150921695776031e+17,La Dépêche Ariège,ladepeche09,"Bienvenue sur le compte officiel de la rédaction de l'#Ariege de @ladepechedumidi. 
Contact en DM ou par mail sur redaction09@ladepeche.fr",2020-07-16T08:41:20.000Z,1283683122811469824,"En #Ariège, des micro-insectes pour lutter contre la pyrale du maïs https://t.co/iia6nbMY03 via",pyrale,['maïs'],0
39,60f00842bd62ed8c4e4159e5,2350148544.0,#agridemain,Agridemain,#agridemain raconte la réalité de l'#agriculture française ses atouts #qualité #emploi ses défis #production #environnement #innovation grâce aux #agriculteurs,2020-07-16T07:32:58.000Z,1283665916417302529,Le trichogramme pour lutter contre la pyrale du maïs https://t.co/KgfpwiQacU,pyrale,['maïs'],0
41,60f00842bd62ed8c4e4159eb,1.2157478442771415e+18,Media7,Media7Officiel,,2020-07-15T17:34:52.000Z,1283455003768889346,"En Ariège, des micro-insectes pour lutter contre la pyrale du maïs https://t.co/eJ4wcxXyDx",pyrale,['maïs'],0
42,60f00842bd62ed8c4e4159f3,7.756935544170127e+17,maxime touzaint,maxime_touzaint,Responsable appro et animation commerciale coopérative Sèvre et Belle🌽🌻🚜  ancien @Groupe_ESA,2020-07-15T06:32:11.000Z,1283288230717280256,Le #biocontrole au service des maïsiculteurs pour faire face à la #pyrale https://t.co/m70qmzdDiP,pyrale,['maïs'],0
